topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
er,123,ospf_te,5.0,0.1,0.8429637813788685,0.15703621862113193,3.430488913341258,1.0555819250800684,12311.129032258064,393956.12903225806,324.5483870967742,1.8,14,1,1947458,62318656.0,25352,253.52,12870
er,123,snn_sra,5.0,0.1,0.8542459840561013,0.14575401594390017,3.5734756049825656,1.0594794057484704,2274.3225806451615,72778.32258064517,49.83870967741935,1.8,4,89,367795,11769440.0,10891,108.91,31161
er,123,te_ecmp,5.0,0.1,0.915723246779273,0.0842767532207307,3.3349867721909034,1.0368096259558206,21914.1935483871,701254.1935483871,561.6129032258065,1.8,2,1,3786725,121175200.0,41433,414.33,25867
er,123,triggered_te,5.0,0.1,0.9157152563055825,0.0842847436944176,3.4191871985925375,1.083000862981259,12147.258064516129,388712.2580645161,70.29032258064517,1.3439999999999999,1,1,1842704,58966528.0,14005,140.05,40827
er,124,bandit,5.0,0.1,0.9247234698955832,0.07527653010441651,3.09103278699347,1.0154462557569206,19579.645161290322,626548.6451612903,2923.1935483870966,1.8,8,1,3090025,98880800.0,524080,5240.8,20889
er,124,ospf_te,5.0,0.1,0.9437432307391458,0.05625676926085425,3.0784471858324802,1.0232297261843406,11793.774193548386,377400.77419354836,259.35483870967744,1.8,2,1,1848071,59138272.0,22818,228.18,13959
er,124,snn_sra,5.0,0.1,0.8819461874098186,0.1180538125901824,3.2606379644260275,1.0584592205594285,2063.0967741935483,66019.09677419355,47.25806451612903,1.8,4,89,372347,11915104.0,10801,108.01,29111
er,124,te_ecmp,5.0,0.1,0.964030880331207,0.035969119668803645,3.044019508372893,1.0174339189508277,21395.1935483871,684646.1935483871,355.0967741935484,1.8,2,1,3525511,112816352.0,33589,335.89,27934
er,124,triggered_te,5.0,0.1,0.8860750393922499,0.11392496060775047,3.2182816117063013,1.074383296457991,11809.870967741936,377915.87096774194,91.38709677419355,1.8,4,8,1783703,57078496.0,14812,148.12,38538
er,125,bandit,5.0,0.1,0.854025226385877,0.14597477361412317,3.1800770046710176,1.0140840911983642,19391.225806451614,620519.2258064516,2835.967741935484,1.8,31,2,3066688,98134016.0,503720,5037.2,21483
er,125,ospf_te,5.0,0.1,0.7652966961768926,0.2347033038231078,3.2378657597901457,1.0353013768199184,11643.677419354839,372597.67741935485,309.4516129032258,1.8,31,2,1837398,58796736.0,26432,264.32,13167
er,125,snn_sra,5.0,0.1,0.7709353010858522,0.22906469891414863,3.4571742596079673,1.090140643568273,2241.6451612903224,71732.64516129032,53.87096774193548,1.8,32,89,329122,10531904.0,11179,111.79,29596
er,125,te_ecmp,5.0,0.1,0.8398438838597679,0.16015611614023365,3.20725501775805,1.0294714202049036,19460.967741935485,622750.9677419355,489.4516129032258,1.8,31,1,3391647,108532704.0,40498,404.98,26477
er,125,triggered_te,5.0,0.1,0.7693484353590989,0.2306515646409015,3.2878870569492626,1.081961233109074,12238.09677419355,391619.0967741936,137.8709677419355,1.8,32,10,1807072,57826304.0,16232,162.32,38430
