topology,seed,method,burst_multiplier,per_flow_load_to_capacity_ratio,burst_mean_delivery_ratio,burst_mean_loss_ratio,burst_mean_delay,burst_mean_path_stretch,burst_mean_control_messages,burst_mean_control_bytes,burst_mean_route_changes,hotspot_peak_pressure,hotspot_relief_tick_after_shock,quieting_tick_after_shock,total_emitted_updates,total_control_bytes,total_route_changes,total_route_changes_per_node,peak_event_rate
rgg,124,ospf_te,2.0,0.04,0.956498266459193,0.04350173354080578,4.630832960822939,1.0049351091422678,14901.09677419355,476835.0967741936,488.35483870967744,0.0,0,1,2290097,73283104.0,35450,354.5,15642
rgg,124,snn_sra,2.0,0.04,0.9043134697209722,0.09568653027902616,4.542852124008498,1.0190426163930602,1253.0645161290322,40098.06451612903,41.96774193548387,0.0,10,89,210797,6745504.0,10342,103.42,19099
rgg,124,te_ecmp,2.0,0.04,0.9710111779860453,0.02898882201394885,4.631655266536246,1.0010642571261024,26837.25806451613,858792.2580645161,938.0645161290323,0.0,0,1,4712627,150804064.0,70094,700.94,36856
rgg,124,triggered_te,2.0,0.04,0.938019772044446,0.061980227955552795,4.610900362707546,1.0099320797589428,16176.870967741936,517659.87096774194,107.61290322580645,0.0,13,1,2242827,71770464.0,15258,152.58,28333
rgg,125,bandit,2.0,0.04,0.7104522766628278,0.2895477233371705,5.261695910059204,1.0213060955923732,25733.612903225807,823475.6129032258,3011.2580645161293,1.5840000000000047,33,3,3989718,127670976.0,551756,5517.56,27522
rgg,125,ospf_te,2.0,0.04,0.6922582161175616,0.3077417838824364,5.262524816723853,1.0624087479930018,15380.129032258064,492164.12903225806,520.483870967742,1.8,43,13,2381253,76200096.0,58291,582.91,16533
rgg,125,snn_sra,2.0,0.04,0.5114288926789915,0.48857110732100617,5.43783996231251,1.0847120430476698,4252.258064516129,136072.25806451612,162.74193548387098,1.8,40,89,554949,17758368.0,17285,172.85,19721
rgg,125,te_ecmp,2.0,0.04,0.6901117320352906,0.30988826796470353,5.138949070815217,1.0422304186228333,28376.774193548386,908056.7741935484,1169.6129032258063,1.6880000000000013,38,9,4872128,155908096.0,121320,1213.2,38883
rgg,125,triggered_te,2.0,0.04,0.6003562860293871,0.39964371397061066,5.193541526406121,1.0650660694674476,16281.612903225807,521011.6129032258,185.41935483870967,1.8,119,89,2670003,85440096.0,23218,232.18,30338
rgg,121,bandit,3.0,0.06000000000000001,0.6160475656170326,0.3839524343829716,4.519970106455469,1.0149879792630396,25114.064516129034,803650.0645161291,2488.1935483870966,0.0,39,9,3875158,124005056.0,452358,4523.58,26136
rgg,121,ospf_te,3.0,0.06000000000000001,0.6394919842189561,0.36050801578104763,3.963773219325657,1.0216915443425691,15073.548387096775,482353.5483870968,630.741935483871,0.0,77,47,2301400,73644800.0,69572,695.72,15840
rgg,121,snn_sra,3.0,0.06000000000000001,0.6033507964598643,0.39664920354013977,4.082817442350907,1.039484890761641,3747.967741935484,119934.96774193548,244.58064516129033,0.0,119,89,328090,10498880.0,17977,179.77,18002
rgg,121,te_ecmp,3.0,0.06000000000000001,0.6003487967794461,0.3996512032205587,3.6996233953120403,1.0150509343664593,25957.032258064515,830625.0322580645,845.1290322580645,0.0,119,89,4248454,135950528.0,120987,1209.87,33105
rgg,121,triggered_te,3.0,0.06000000000000001,0.5826047372430315,0.417395262756972,3.846790585122461,1.0240251554482254,14238.193548387097,455622.1935483871,127.45161290322581,0.0,119,89,2231732,71415424.0,20591,205.91,29683
rgg,122,bandit,3.0,0.06000000000000001,0.6435420242194178,0.3564579757805986,5.508422146980096,1.0094147645336151,24804.290322580644,793737.2903225806,3009.0,1.8,119,89,3860576,123538432.0,545191,5451.91,25443
rgg,122,ospf_te,3.0,0.06000000000000001,0.630911384717845,0.36908861528217096,5.799266016116724,1.0930302119071051,14885.129032258064,476324.12903225806,609.7096774193549,1.8,42,12,2300817,73626144.0,58672,586.72,15840
rgg,122,snn_sra,3.0,0.06000000000000001,0.5742705523586277,0.425729447641389,4.98612457128599,1.021071718257819,2310.064516129032,73922.06451612903,75.16129032258064,1.8,119,89,332318,10634176.0,12437,124.37,19356
rgg,122,te_ecmp,3.0,0.06000000000000001,0.6589735416801685,0.3410264583198438,5.505417029666313,1.0708174083756117,23346.0,747072.0,1182.967741935484,1.8,43,13,4460468,142734976.0,82597,825.97,35665
rgg,122,triggered_te,3.0,0.06000000000000001,0.6340368210998034,0.36596317890021296,5.1564136764861015,1.035490558048692,16552.935483870966,529693.9354838709,163.5483870967742,0.9959999999999949,119,89,2347653,75124896.0,19510,195.1,29863
rgg,123,bandit,3.0,0.06000000000000001,0.33299891197542586,0.6670010880245897,8.596186924614182,1.0373348555818027,23450.225806451614,750407.2258064516,1945.0,1.8,67,37,3599950,115198400.0,347910,3479.1,24354
rgg,123,ospf_te,3.0,0.06000000000000001,0.35261461552838375,0.6473853844716314,6.336667612165077,1.077077493753654,14067.58064516129,450162.5806451613,645.0967741935484,1.8,119,89,2127216,68070912.0,79630,796.3,15444
rgg,123,snn_sra,3.0,0.06000000000000001,0.3644492422231207,0.6355507577768946,6.837794139517629,1.1129982374098715,5168.870967741936,165403.87096774194,315.7741935483871,1.8,119,89,446593,14290976.0,20175,201.75,17637
rgg,123,te_ecmp,3.0,0.06000000000000001,0.2951577836814749,0.7048422163185389,6.146221355932934,1.0681195337289444,21606.354838709678,691403.3548387097,992.0967741935484,1.8,114,85,3331650,106612800.0,148481,1484.81,31823
rgg,123,triggered_te,3.0,0.06000000000000001,0.3065438008146385,0.6934561991853753,5.484856795831267,1.0573663216811757,16150.741935483871,516823.7419354839,207.09677419354838,1.8,119,89,2402127,76868064.0,24795,247.95,25923
rgg,124,bandit,3.0,0.06000000000000001,0.8309014113209002,0.16909858867910263,4.599855142359855,1.011753224746295,24868.16129032258,795781.1612903225,2365.0967741935483,0.0,31,1,3842398,122956736.0,449538,4495.38,26433
rgg,124,ospf_te,3.0,0.06000000000000001,0.71384549113873,0.2861545088612742,4.5742444746126445,1.05462428048247,14901.09677419355,476835.0967741936,844.2903225806451,0.0,37,7,2290097,73283104.0,54049,540.49,15642
rgg,124,snn_sra,3.0,0.06000000000000001,0.632070889583199,0.3679291104168051,4.500755442933052,1.0672735893818213,6186.419354838709,197965.4193548387,321.2258064516129,0.0,51,89,601046,19233472.0,21796,217.96,19099
rgg,124,te_ecmp,3.0,0.06000000000000001,0.6805983357698662,0.31940166423013927,4.329796579536433,1.043882514181265,20331.322580645163,650602.3225806452,1333.5483870967741,0.0,39,9,3873410,123949120.0,84405,844.05,36856
rgg,124,triggered_te,3.0,0.06000000000000001,0.6283095523075429,0.3716904476924608,4.238920057736283,1.0604680773564021,17707.774193548386,566648.7741935484,240.25806451612902,0.0,51,21,2399555,76785760.0,22644,226.44,28470
rgg,125,bandit,3.0,0.06000000000000001,0.5204066164696562,0.4795933835303592,5.432565770473285,1.0520255520147572,25733.612903225807,823475.6129032258,2757.3870967741937,1.8,36,6,3989718,127670976.0,500403,5004.03,27522
rgg,125,ospf_te,3.0,0.06000000000000001,0.43620329750141434,0.5637967024986006,5.402632272776583,1.0765078971967352,15380.129032258064,492164.12903225806,551.6129032258065,1.8,43,13,2381253,76200096.0,70303,703.03,16533
rgg,125,snn_sra,3.0,0.06000000000000001,0.4222701273822721,0.5777298726177427,5.872650194346243,1.1208677526475628,4899.741935483871,156791.74193548388,194.32258064516128,1.8,37,89,614152,19652864.0,18065,180.65,19721
rgg,125,te_ecmp,3.0,0.06000000000000001,0.45933051406688574,0.5406694859331275,5.215560687333672,1.0640133744587428,25898.58064516129,828754.5806451613,1067.3548387096773,1.8,47,17,4552811,145689952.0,114461,1144.61,38883
rgg,125,triggered_te,3.0,0.06000000000000001,0.3733254677601548,0.6266745322398585,5.188043563646306,1.1033337422945715,17529.354838709678,560939.3548387097,109.19354838709677,1.8,119,89,2440326,78090432.0,17304,173.04,30338
rgg,121,bandit,4.0,0.08,0.5464324824474239,0.45356751755256947,4.498970336206931,1.0241355603959654,25114.064516129034,803650.0645161291,1994.741935483871,0.0,46,16,3875158,124005056.0,350870,3508.7,26136
