topology,mode,seed,tick,route_changes,phase
er,memory_only,103,32,0,pre
er,memory_only,103,33,0,pre
er,memory_only,103,34,0,pre
er,memory_only,103,35,0,pre
er,memory_only,103,36,0,pre
er,memory_only,103,37,0,pre
er,memory_only,103,38,0,pre
er,memory_only,103,39,0,pre
er,memory_only,103,40,0,stage2
er,memory_only,103,41,0,stage2
er,memory_only,103,42,0,stage2
er,memory_only,103,43,0,stage2
er,memory_only,103,44,0,stage2
er,memory_only,103,45,0,stage2
er,memory_only,103,46,3,stage2
er,memory_only,103,47,0,stage2
er,memory_only,103,48,0,stage2
er,memory_only,103,49,0,stage2
er,memory_only,103,50,0,stage2
er,memory_only,103,51,0,stage2
er,memory_only,103,52,0,stage2
er,memory_only,103,53,0,stage2
er,memory_only,103,54,0,stage2
er,memory_only,103,55,0,stage2
er,memory_only,103,56,0,recovery
er,memory_only,103,57,0,recovery
er,memory_only,103,58,0,recovery
er,memory_only,103,59,0,recovery
er,memory_only,103,60,0,recovery
er,memory_only,103,61,0,recovery
er,memory_only,103,62,0,recovery
er,memory_only,103,63,0,recovery
er,memory_only,103,64,0,recovery
er,memory_only,103,65,0,recovery
er,memory_only,103,66,0,recovery
er,memory_only,103,67,0,recovery
er,memory_only,103,68,0,recovery
er,memory_only,103,69,0,recovery
er,memory_only,103,70,0,recovery
er,memory_only,103,71,0,recovery
er,memory_only,103,72,0,recovery
er,memory_only,103,73,0,recovery
er,memory_only,103,74,0,recovery
er,memory_only,103,75,0,recovery
er,memory_only,103,76,0,recovery
er,memory_only,103,77,0,recovery
er,memory_only,103,78,0,recovery
er,memory_only,103,79,0,recovery
er,full,103,1,2554,pre
er,full,103,2,4960,pre
er,full,103,3,1718,pre
er,full,103,4,88,pre
er,full,103,5,0,pre
er,full,103,6,0,pre
er,full,103,7,0,pre
er,full,103,8,0,pre
er,full,103,9,0,pre
er,full,103,10,0,pre
er,full,103,11,0,pre
er,full,103,12,0,pre
er,full,103,13,0,pre
er,full,103,14,0,pre
