time_s,old_cwnd_bytes,new_cwnd_bytes
11.911214,12816,13157
11.911624,13157,13059
11.911686,13059,13400
11.912083,13400,13303
11.912618,13303,13108
11.913562,13108,12913
11.914506,12913,12718
11.915450,12718,12523
11.916394,12523,12328
11.917338,12328,12134
11.918282,12134,11939
11.919226,11939,11744
11.920170,11744,11549
11.921114,11549,9648
11.921114,9648,10184
11.931026,10184,10720
11.976178,10720,11256
11.994176,11256,11792
12.014000,11792,12328
12.033824,12328,12864
12.055536,12864,13400
12.077248,13400,13936
12.099904,13936,14472
